"subject","predicate","object","graph"
"b12_b3236102","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3392097",""
"b12_b3236103","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236103","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC339296",""
"b12_b3236104","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236104","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393429",""
"b12_b3236105","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236105","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393535",""
"b12_b3236106","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236106","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393539",""
"b12_b3236107","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236107","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393544",""
"b12_b3236108","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236108","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393548",""
"b12_b3236109","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236109","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393563",""
"b12_b3236110","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236110","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393566",""
"b12_b3236111","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236111","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3393577",""
"b12_b3236112","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236112","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC339422",""
"b12_b3236113","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236113","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3394368",""
"b12_b3236114","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236114","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3394816",""
"b12_b3236115","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236115","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3394946",""
"b12_b3236116","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236116","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3395282",""
"b12_b3236117","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236117","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3396187",""
"b12_b3236118","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236118","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3396893",""
"b12_b3236119","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236119","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC339728",""
"b12_b3236120","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236120","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3397895",""
"b12_b3236121","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236121","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC33981",""
"b12_b3236122","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
